form	lemma	POS	morph
བྱཿ་		NON_WORD
།		PUNCT
བཀའགུ་		NON_WORD
།་།།		PUNCT
མི་	མི་	PART
ཆི་	ཆི་	NO_POS
།		PUNCT
ཧཱ་		NON_WORD
སྦྱ་		NON_WORD
མུཿ་		NON_WORD
།		PUNCT
		
རྩ་	རྩ་	NUM
འཇིཅི༷༷ང་		NON_WORD
		
ཇིབ་		NON_WORD
ཇིང་		NON_WORD
		
		
		
བཅི་		NON_WORD
ཁོ་	ཁོ་	PRON
ཞུག༷་		NON_WORD
		
ཡོཁོག་		NON_WORD
ར་	ར་	ADP
།་		PUNCT
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
།་		PUNCT
འོད་	འོད་	NOUN
ག་	ག་	PRON
ས་	གིས་	PART
ལ་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐེས་		NON_WORD
ང་	ང་	PRON
འི་	གི་	PART
ལ་མ་	ལ་མ་	NO_POS
།། ་		PUNCT
ཆང་	ཆང་	NOUN
ལ་མ་	ལ་མ་	NO_POS
།་		PUNCT
ནོར་	ནོར་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
།་		PUNCT
ཆོ་	ཆོ་	NOUN
།་		PUNCT
དབྱིངས་	དབྱིངས་	NOUN
ངང་	ངང་	NOUN
༈ །		PUNCT
འགྱུར་མེད་	འགྱུར་མེད་	NOUN
ཀློང་	ཀློང་	NOUN
དུ་མ་	དུ་མ་	ADJ
།		PUNCT
ངོན་		NON_WORD
ང་ར་	ང་ར་	NO_POS
བྱང་ཆུབ་པ་	བྱང་ཆུབ་པ་	NOUN
། །		PUNCT
དཔ་		NON_WORD
ལ་	ལ་	PART
ལྡ་	ལྡ་	NO_POS
ན་	ལ་	PART
བླ་མ་	བླ་མ་	NOUN
ད་	ད་	NOUN
།་		PUNCT
པ་	པ་	PART
འབ་	འབའ་	DET
ས་	གིས་	PART
བརྟེན་	བརྟེན་	VERB
སསོལ་		NON_WORD
། །		PUNCT
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
ཐུབ་	ཐུབ་	VERB
